"","Cad0423","Cad0270","Cad1225","Cad0529","Cad1716","Cad1047","Cad0294","Cad0224","wt"
"0",0,0,0,0,0,0,0.5,0.875,0
"9",0,0,0,0,0,0,0,0.333333333333333,0
"22",0,0,0,0,0,0,0,0.571428571428571,0
"31",0,0,0,0,0,0,0,0.75,0
"44",0,0,0,0,0,0,0,0.833333333333333,0
"45",0,0.166666666666667,0,0,0,0,0,0.166666666666667,0
"47",0,0,0.181818181818182,0,0.340909090909091,0,0,0.272727272727273,0
"48",0,0,0,0,0,0,0,0.0099009900990099,0
"49",0,0,0,0,0,0,0,0,0
"50",0,0,0,0,0,0,0,0,0
"51",0,0,0,0.0769230769230769,0,0,0,0,0
"52",0.0285714285714286,0,0,0.228571428571429,0,0,0,0,0
"53",0,0,0,0,0,0,0,0,0
"55",0,0,0,0,0,0,0,0,0
"56",0,0,0,0,0,0,0,0,0
"57",0,0,0,0,0,0,0,0,0
"59",0,0,0,0,0,0,0,0,0
"65",0,0,0,0,0,0,0,0,0
"68",0,0,0,0,0,0,0,0,0
"71",0,0,0,0,0,0,0,0,0
"73",0,0,0,0,0,0,0,0,0
"100",0,0,0,0,0,0,0,0,0
"119",0,0,0,0,0,0,0,0,0
"124",0,0,0,0,0,0.357142857142857,0,0,0
